[      70ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[      81ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[  112907ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  113913ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  114917ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  115921ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  116923ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  117929ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  122935ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  127945ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  132958ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  137991ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  143058ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  148158ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[  153335ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=T-qTgWvsKuxSG7GjlLWXq' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
