[     476ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[     484ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[   12552ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   13558ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   14562ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   15565ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   16569ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   17572ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   22584ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   27593ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   32622ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   37639ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   42700ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   47797ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[   52896ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/hmr?id=WjTpd-Hb0d-3U8-7aw8cQ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
